START,STOP,FREQ
1,1,0.48853189493433397
2,2,0.01648686679174484
3,3,0.014939024390243902
4,4,0.014634146341463415
5,5,0.014047842401500938
6,6,0.015830206378986866
7,7,0.010694183864915573
8,8,0.009943714821763603
9,9,0.009029080675422138
10,10,0.00825515947467167
11,11,0.009193245778611633
12,12,0.010060975609756098
13,13,0.016604127579737334
14,14,0.009146341463414634
15,15,0.01857410881801126
16,16,0.007481238273921201
17,17,0.007621951219512195
18,18,0.01777673545966229
19,19,0.006285178236397748
20,20,0.006121013133208255
21,21,0.006121013133208255
22,22,0.005980300187617261
23,23,0.00649624765478424
24,24,0.0065900562851782364
25,25,0.006543151969981238
26,26,0.005417448405253283
27,27,0.028893058161350845
28,28,0.005698874296435272
29,29,0.005065666041275798
30,30,0.0065196998123827395
31,31,0.005159474671669793
32,32,0.004549718574108818
33,33,0.010107879924953095
34,34,0.004409005628517823
35,35,0.004291744840525328
36,36,0.0052767354596622885
37,37,0.007293621013133208
38,38,0.004666979362101313
39,39,0.013930581613508443
40,40,0.004362101313320825
41,41,0.004033771106941838
42,42,0.00952157598499062
43,43,0.003799249530956848
44,44,0.003658536585365854
45,45,0.010694183864915573
46,46,0.011139774859287055
47,47,0.010811444652908068
48,48,0.022842401500938088
49,49,0.009779549718574108
50,50,0.0030956848030018764
51,51,0.00548780487804878
52,52,0.01780018761726079
53,53,0.0028142589118198874
54,54,0.008677298311444653
55,55,0.01397748592870544
56,56,0.0036819887429643526
57,57,0.25093808630394
58,58,0.00375234521575985
59,59,0.004409005628517823
60,60,0.0030722326454033773
61,61,0.002368667917448405
62,62,0.002298311444652908
63,63,0.007551594746716698
64,64,0.0029549718574108817
65,65,0.0020872420262664166
66,66,0.005816135084427768
67,67,0.01897279549718574
68,68,0.002532833020637899
69,69,0.02068480300187617
70,70,0.046880863039399624
71,71,0.0021106941838649157
72,72,0.004596622889305816
73,73,0.001876172607879925
74,74,0.001876172607879925
75,75,0.00548780487804878
76,76,0.004807692307692308
77,77,0.07073170731707316
78,78,0.003517823639774859
79,79,0.0045262664165103186
80,80,0.00225140712945591
81,81,0.004666979362101313
82,82,0.002908067542213884
83,83,0.006308630393996248
84,84,0.0224437148217636
85,85,0.015548780487804878
86,86,0.0020872420262664166
87,87,0.008911819887429643
88,88,0.028846153846153848
89,89,0.004033771106941838
90,90,0.012570356472795497
91,91,0.0020637898686679174
92,92,0.003517823639774859
93,93,0.01850375234521576
94,94,0.0019230769230769232
95,95,0.0021810506566604126
96,96,0.003353658536585366
97,97,0.0039634146341463415
98,98,0.002227954971857411
99,99,0.0052767354596622885
100,100,0.002227954971857411
101,101,0.002227954971857411
102,102,0.00300187617260788
103,103,0.014798311444652908
104,104,0.0021810506566604126
105,105,0.004409005628517823
106,106,0.002603189493433396
107,107,0.0018527204502814258
108,108,0.004127579737335835
109,109,0.0026969981238273923
110,110,0.002134146341463415
111,111,0.0030722326454033773
112,112,0.00199343339587242
113,113,0.0035647279549718574
114,114,0.004104127579737336
115,115,0.002227954971857411
116,116,0.0029315196998123826
117,117,0.007106003752345216
118,118,0.01803470919324578
119,119,0.0033067542213883676
120,120,0.00450281425891182
121,121,0.00600375234521576
122,122,0.0031660412757973733
123,123,0.02077861163227017
124,124,0.0038461538461538464
125,125,0.01723733583489681
126,126,0.003799249530956848
127,127,0.012593808630393995
128,128,0.0034709193245778614
129,129,0.015079737335834897
130,130,0.042636022514071295
131,131,0.007129455909943715
132,132,0.00450281425891182
133,133,0.0300422138836773
134,134,0.0049015009380863036
135,135,0.0898217636022514
136,136,0.010623827392120075
137,137,0.00701219512195122
138,138,0.005417448405253283
139,139,0.0023217636022514073
140,140,0.00802063789868668
141,141,0.0225375234521576
142,142,0.0015947467166979362
143,143,0.0023452157598499064
144,144,0.008935272045028142
