START,STOP,FREQ
1,1,0.49318964226912143
2,2,0.018410417602155366
3,3,0.017662026642718157
4,4,0.03712019158808562
5,5,0.018410417602155366
6,6,0.03846729531507259
7,7,0.019308486753480018
8,8,0.054931896422691216
9,9,0.04505313575812004
10,10,0.015117497380631641
11,11,0.016314922915731177
12,12,0.015117497380631641
13,13,0.03592276605298608
14,14,0.018859452177817693
15,15,0.04056279000149678
16,16,0.01571621014818141
17,17,0.013022002694207453
18,18,0.4717856608292172
19,19,0.02170333782367909
20,20,0.012572968118545127
21,21,0.030234994761263283
22,22,0.03981439904205957
23,23,0.011824577159107917
24,24,0.015117497380631641
25,25,0.018410417602155366
26,26,0.012123933542882801
27,27,0.014818140996856757
28,28,0.023499476126328394
29,29,0.10911540188594522
30,30,0.015267175572519083
31,31,0.0898069151324652
32,32,0.024996258045202814
33,33,0.050890585241730284
34,34,0.01721299206705583
35,35,0.031731776680137706
36,36,0.01706331387516839
37,37,0.0149678191887442
38,38,0.01047747343212094
39,39,0.06316419697650053
40,40,0.01197425535099536
41,41,0.01197425535099536
42,42,0.07259392306540936
43,43,0.041610537344708876
44,44,0.01796138302649304
45,45,0.035623409669211195
46,46,0.015566531956293967
47,47,0.008082622361921869
48,48,0.03517437509354887
49,49,0.007932944170034427
50,50,0.0074839095943721
51,51,0.02020655590480467
52,52,0.00823230055380931
53,53,0.007633587786259542
54,54,0.0327795240233498
55,55,0.006585840443047448
56,56,0.006585840443047448
57,57,0.016314922915731177
58,58,0.00673551863493489
59,59,0.006286484059272564
60,60,0.007932944170034427
61,61,0.007184553210597216
62,62,0.00673551863493489
63,63,0.008531656937584195
64,64,0.006585840443047448
65,65,0.006585840443047448
66,66,0.009280047897021405
67,67,0.007034875018709774
68,68,0.006436162251160006
69,69,0.016763957491393505
70,70,0.006436162251160006
71,71,0.006436162251160006
72,72,0.06361323155216285
73,73,0.007034875018709774
74,74,0.006286484059272564
75,75,0.007034875018709774
76,76,0.006286484059272564
77,77,0.006436162251160006
78,78,0.22855859901212394
79,79,0.006436162251160006
80,80,0.006286484059272564
81,81,0.03442598413411166
82,82,0.0058374494836102376
83,83,0.005388414907947912
84,84,0.01721299206705583
85,85,0.005388414907947912
86,86,0.005388414907947912
87,87,0.007932944170034427
88,88,0.012423289926657685
89,89,0.007334231402484658
90,90,0.07723394701392007
91,91,0.006885196826822332
92,92,0.006436162251160006
93,93,0.4675946714563688
94,94,0.009429726088908847
95,95,0.005538093099835354
96,96,0.006286484059272564
97,97,0.005089058524173028
98,98,0.00523873671606047
99,99,0.005089058524173028
100,100,0.004789702140398144
101,101,0.005089058524173028
102,102,0.03936536446639725
103,103,0.004789702140398144
104,104,0.005089058524173028
105,105,0.005089058524173028
106,106,0.005089058524173028
107,107,0.004939380332285586
108,108,0.00523873671606047
109,109,0.004640023948510702
110,110,0.004789702140398144
111,111,0.024247867085765602
112,112,0.004640023948510702
113,113,0.004939380332285586
114,114,0.025145936237090254
115,115,0.004939380332285586
116,116,0.004789702140398144
117,117,0.07858105074090704
118,118,0.005538093099835354
119,119,0.00523873671606047
120,120,0.05822481664421494
121,121,0.004789702140398144
122,122,0.004640023948510702
123,123,0.05897320760365215
124,124,0.004640023948510702
125,125,0.004939380332285586
126,126,0.011824577159107917
127,127,0.004640023948510702
128,128,0.004640023948510702
129,129,0.007184553210597216
130,130,0.004640023948510702
131,131,0.004939380332285586
132,132,0.025894327196527466
133,133,0.005089058524173028
134,134,0.006136805867385122
135,135,0.029636281993713515
136,136,0.005388414907947912
137,137,0.006436162251160006
138,138,0.006585840443047448
139,139,0.010926508007783267
140,140,0.005089058524173028
141,141,0.006136805867385122
142,142,0.005388414907947912
143,143,0.005687771291722796
144,144,0.005687771291722796
145,145,0.014518784613081873
146,146,0.005388414907947912
147,147,0.024247867085765602
148,148,0.005388414907947912
149,149,0.005388414907947912
150,150,0.07932944170034426
151,151,0.00523873671606047
152,152,0.006136805867385122
153,153,0.027989821882951654
154,154,0.024996258045202814
155,155,0.006436162251160006
156,156,0.00673551863493489
157,157,0.005538093099835354
158,158,0.005538093099835354
159,159,0.006286484059272564
160,160,0.005388414907947912
161,161,0.004939380332285586
162,162,0.07813201616524472
163,163,0.005687771291722796
164,164,0.004789702140398144
165,165,0.02170333782367909
166,166,0.004939380332285586
167,167,0.005687771291722796
168,168,0.031731776680137706
